shark_seq_number	p16S_shark_12SPCR.30C.Coastal.Skew1.2.S37.L001	p16S_shark_12SPCR.30C.Coastal.Skew1.3.S45.L001	p16S_shark_12SPCR.30C.Coastal.Skew2.1.S30.L001	p16S_shark_12SPCR.30C.North.Even.1.S34.L001	p16S_shark_12SPCR.30C.North.Even.3.S50.L001	p16S_shark_12SPCR.30C.North.Skew1.1.S35.L001	p16S_shark_12SPCR.30C.North.Skew1.2.S43.L001	p16S_shark_12SPCR.30C.North.Skew2.3.S54.L001	p16S_shark_12SPCR.30C.Oceanic.Even.2.S39.L001	p16S_shark_12SPCR.30C.Oceanic.Even.3.S47.L001	p16S_shark_12SPCR.30C.Oceanic.Skew1.3.S48.L001	p16S_shark_12SPCR.30C.Oceanic.Skew2.2.S41.L001	p16S_shark_12SPCR.30C.Oceanic.Skew2.3.S49.L001	p16S_shark_12SPCR.33C.Coastal.Even.2.S63.L001	p16S_shark_12SPCR.33C.Coastal.Even.3.S71.L001	p16S_shark_12SPCR.33C.Coastal.Skew1.1.S56.L001	p16S_shark_12SPCR.33C.Coastal.Skew1.2.S64.L001	p16S_shark_12SPCR.33C.Coastal.Skew1.3.S72.L001	p16S_shark_12SPCR.33C.Coastal.Skew2.1.S57.L001	p16S_shark_12SPCR.33C.Coastal.Skew2.2.S65.L001	p16S_shark_12SPCR.33C.North.Even.1.S61.L001	p16S_shark_12SPCR.33C.North.Even.2.S69.L001	p16S_shark_12SPCR.33C.North.Even.3.S77.L001	p16S_shark_12SPCR.33C.North.Skew2.1.S79.L001	p16S_shark_12SPCR.33C.North.Skew2.2.S80.L001	p16S_shark_12SPCR.33C.Oceanic.Even.1.S58.L001	p16S_shark_12SPCR.33C.Oceanic.Even.2.S66.L001	p16S_shark_12SPCR.33C.Oceanic.Even.3.S74.L001	p16S_shark_12SPCR.33C.Oceanic.Skew1.1.S59.L001	p16S_shark_12SPCR.33C.Oceanic.Skew1.2.S67.L001	p16S_shark_12SPCR.33C.Oceanic.Skew1.3.S75.L001	p16S_shark_12SPCR.33C.Oceanic.Skew2.2.S68.L001	p16S_shark_12SPCR.33C.Oceanic.Skew2.3.S76.L001	p16S_shark_12SPCR.36C.Coastal.Even.2.S90.L001	p16S_shark_12SPCR.36C.Coastal.Even.3.S98.L001	p16S_shark_12SPCR.36C.Coastal.Skew1.1.S83.L001	p16S_shark_12SPCR.36C.Coastal.Skew1.3.S99.L001	p16S_shark_12SPCR.36C.Coastal.Skew2.1.S84.L001	p16S_shark_12SPCR.36C.Coastal.Skew2.2.S92.L001	p16S_shark_12SPCR.36C.Coastal.Skew2.3.S100.L001	p16S_shark_12SPCR.36C.North.Even.1.S88.L001	p16S_shark_12SPCR.36C.North.Even.2.S96.L001	p16S_shark_12SPCR.36C.North.Skew1.3.S105.L001	p16S_shark_12SPCR.36C.North.Skew2.2.S106.L001	p16S_shark_12SPCR.36C.Oceanic.Skew1.2.S94.L001	p16S_shark_12SPCR.36C.Oceanic.Skew2.1.S87.L001	p16S_shark_12SPCR.39C.Blackfin.Tuna.S133.L001	p16S_shark_12SPCR.39C.Coastal.Even.2.S115.L001	p16S_shark_12SPCR.39C.Coastal.Even.3.S121.L001	p16S_shark_12SPCR.39C.Coastal.Skew1.2.S116.L001	p16S_shark_12SPCR.39C.Coastal.Skew2.1.S135.L001	p16S_shark_12SPCR.39C.Coastal.Skew2.2.S117.L001	p16S_shark_12SPCR.39C.Coastal.Skew2.3.S123.L001	p16S_shark_12SPCR.39C.North.Even.1.S113.L001	p16S_shark_12SPCR.39C.North.Skew1.2.S120.L001	p16S_shark_12SPCR.39C.North.Skew1.3.S128.L001	p16S_shark_12SPCR.39C.North.Skew2.3.S131.L001	p16S_shark_12SPCR.39C.Oceanic.Even.1.S110.L001	p16S_shark_12SPCR.39C.Oceanic.Even.2.S136.L001	p16S_shark_12SPCR.39C.Oceanic.Even.3.S124.L001	p16S_shark_12SPCR.39C.Oceanic.Skew1.1.S111.L001	p16S_shark_12SPCR.39C.Oceanic.Skew1.2.S118.L001	p16S_shark_12SPCR.39C.Oceanic.Skew1.3.S125.L001	p16S_shark_12SPCR.39C.Oceanic.Skew2.1.S112.L001	p16S_shark_12SPCR.39C.Oceanic.Skew2.2.S137.L001	p16S_shark_12SPCR.39C.Tilapia.S132.L001	p16S_shark_16SPCR.Coastal.Even.1.S1.L001	p16S_shark_16SPCR.Coastal.Even.2.S9.L001	p16S_shark_16SPCR.Coastal.Even.3.S17.L001	p16S_shark_16SPCR.Coastal.Skew1.1.S2.L001	p16S_shark_16SPCR.Coastal.Skew1.2.S10.L001	p16S_shark_16SPCR.Coastal.Skew1.3.S18.L001	p16S_shark_16SPCR.Coastal.Skew2.1.S3.L001	p16S_shark_16SPCR.Coastal.Skew2.2.S11.L001	p16S_shark_16SPCR.Coastal.Skew2.3.S19.L001	p16S_shark_16SPCR.North.Even.1.S7.L001	p16S_shark_16SPCR.North.Even.2.S15.L001	p16S_shark_16SPCR.North.Even.3.S23.L001	p16S_shark_12SPCR.30C.Coastal.Skew1.1.S29.L001	p16S_shark_12SPCR.30C.North.Even.2.S42.L001	p16S_shark_12SPCR.30C.North.Skew1.3.S51.L001	p16S_shark_12SPCR.30C.North.Skew2.2.S53.L001	p16S_shark_12SPCR.30C.Oceanic.Even.1.S31.L001	p16S_shark_12SPCR.30C.Oceanic.Skew1.2.S40.L001	p16S_shark_12SPCR.33C.Coastal.Skew2.3.S73.L001	p16S_shark_12SPCR.36C.North.Even.3.S104.L001	p16S_shark_12SPCR.36C.North.Skew1.2.S97.L001	p16S_shark_12SPCR.36C.North.Skew2.1.S134.L001	p16S_shark_12SPCR.36C.North.Skew2.3.S107.L001	p16S_shark_12SPCR.36C.Oceanic.Even.1.S85.L001	p16S_shark_12SPCR.36C.Oceanic.Even.3.S101.L001	p16S_shark_12SPCR.36C.Oceanic.Skew1.1.S86.L001	p16S_shark_12SPCR.36C.Oceanic.Skew1.3.S102.L001	p16S_shark_12SPCR.36C.Oceanic.Skew2.3.S103.L001	p16S_shark_12SPCR.39C.Coastal.Even.1.S108.L001	p16S_shark_12SPCR.39C.Coastal.Skew1.1.S109.L001	p16S_shark_12SPCR.39C.Coastal.Skew1.3.S122.L001	p16S_shark_12SPCR.39C.North.Even.3.S127.L001	p16S_shark_12SPCR.39C.North.Skew1.1.S114.L001	p16S_shark_12SPCR.39C.North.Skew2.1.S129.L001	p16S_shark_12SPCR.39C.North.Skew2.2.S130.L001	p16S_shark_12SPCR.39C.Oceanic.Skew2.3.S126.L001	sum taxonomy
forward_p16S_shark_341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
forward_p16S_shark_342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
forward_p16S_shark_343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;;;
forward_p16S_shark_344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
forward_p16S_shark_345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
forward_p16S_shark_346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
forward_p16S_shark_347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Chondrichthyes;Rhinopristiformes;Rhinobatidae;Aptychotrema;Aptychotrema vincentiana
forward_p16S_shark_348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
forward_p16S_shark_349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;
forward_p16S_shark_350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_p16S_shark_351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;;Sciaenidae;Genyonemus;Genyonemus lineatus
forward_p16S_shark_352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;;;
forward_p16S_shark_353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Hexagrammidae;Ophiodon;Ophiodon elongatus
forward_p16S_shark_354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;;Sciaenidae;Genyonemus;Genyonemus lineatus
forward_p16S_shark_355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;
forward_p16S_shark_356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;
forward_p16S_shark_357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
forward_p16S_shark_358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Chondrichthyes;Rhinopristiformes;Rhinobatidae;Aptychotrema;Aptychotrema vincentiana
forward_p16S_shark_359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Mustelus;Mustelus californicus
forward_p16S_shark_360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Carcharodon;Carcharodon carcharias
forward_p16S_shark_361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Mustelus;Mustelus californicus
forward_p16S_shark_362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Mustelus;Mustelus californicus
forward_p16S_shark_363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Mustelus;Mustelus californicus
forward_p16S_shark_364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Mustelus;Mustelus californicus
forward_p16S_shark_365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Mustelus;Mustelus californicus
forward_p16S_shark_366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Mustelus;Mustelus californicus
forward_p16S_shark_367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Mustelus;Mustelus californicus
forward_p16S_shark_368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_p16S_shark_369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Carcharodon;Carcharodon carcharias
forward_p16S_shark_370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Carcharodon;Carcharodon carcharias
forward_p16S_shark_371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Carcharodon;Carcharodon carcharias
forward_p16S_shark_372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica
forward_p16S_shark_373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Chondrichthyes;Torpediniformes;Torpedinidae;Tetronarce;Tetronarce californica
forward_p16S_shark_374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_p16S_shark_375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
forward_p16S_shark_376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
forward_p16S_shark_377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
forward_p16S_shark_378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Genyonemus;Genyonemus lineatus
forward_p16S_shark_379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;;Sciaenidae;Genyonemus;Genyonemus lineatus
forward_p16S_shark_380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;;;;;
forward_p16S_shark_381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;
